xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
8,BIRDS OF VERMONT MUSEUM INC,2018,990,900 SHERMAN HOLLOW RD,HUNTINGTON,BIRDSOFVERMONT.ORG,030277302,1981,MUSEUM OF NATIVE VT BIRDS,BILL MAYVILLE,NA,NA,611504,166787,444717,166207,166787,-13528,836870,2079,834791,88878,122217,37556
12,NA,NA,NA,NA,NA,NA,030375511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Burlington City Arts Foundation Inc,2018,990,135 Church Street,Burlington,www.burlingtoncityartsfoundation.org,030354963,1998,"To support Burlington City Arts' activities and programs, and to support Vermont artists.",Fran Stoddard,NA,15,904980,608417,296563,344856,608417,-230555,526228,NA,526228,NA,344705,NA
18,THE CARVING STUDIO &amp; SCULPTURE CENTER,2019,990,PO BOX 495,WEST RUTLAND,N/A,030325486,NA,"PROMOTES ART OF SCUPLTURE USING MEDIUMS OF STONE &amp; WOOD; PROVIDES EDUCATIONAL CLASSES, WORKSHOPS AND WORKSPACE",NA,NA,45,358095,383306,-25211,436474,383306,32069,654014,11548,642466,110139,297650,125333
22,THE COMMONS GROUP LTD,2019,990EZ,609 COMMON ROAD,WAITSFIELD,N/A,030364576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3412,NA,NA,NA
23,COMMUNITY ENGAGEMENT LAB INC,2019,990,41 SUMMER STREET,MONTPELIER,WWW.CELVT.ORG,453868526,2011,TO BRING PEOPLE OF ALL AGES TOGETHER IN PROJECTS THAT ACTIVATE THEIR CREATIVITY TO IMAGINE AND BUILD MORE THRIVING COMMUNITIES.,PAUL GAMBILL,NA,20,294295,268961,25334,321232,268961,29362,207639,179122,28517,187995,311803,9420
27,CRAFTSBURY CHAMBER PLAYERS INC,2018,990EZ,252 COLLEGE STREET,BURLINGTON,WWW.CRAFTSBURYCHAMBERPLAYERS.ORG,036013080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189179,NA,NA,NA
28,DANVILLE VERMONT HISTORICAL SOCIETY INC,2019,990,PO BOX 274,DANVILLE,DANVILLEVTHISTORICAL.ORG,352274186,1960,NA,PATRICIA CONLY,NA,NA,53744,47793,5951,51873,47793,-2317,1524823,NA,NA,22431,26188,25
35,FLYNN CENTER FOR THE PERFORMING,2018,990,153 MAIN STREET,BURLINGTON,WWW.FLYNNCENTER.ORG,030277052,1980,NA,INGRID PELS,307,535,9107722,7267117,1840605,8027465,7267117,629688,23557034,1571919,21985115,3401330,2837255,4037843
36,FRANKLIN GRAND ISLE WORKFORCE INVESTMENT,2018,990EZ,PO BOX 1099,ST ALBANS,N/A,043391815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25140,NA,NA,NA
37,FRIENDS OF HARWOOD HOCKEY,2018,990EZ,PO BOX 92,WATERBURY,harwoodhockey.org,030282456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98682,NA,NA,NA
40,Friends of the Vergennes Opera House Inc,2018,990EZ,PO Box 88,Vergennes,www.vergennesoperahouse.org,030341456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172658,NA,NA,NA
44,GREEN MOUNTAIN PERFORMING ARTS INC,2018,990EZ,37 COMMERCIAL DRIVE,WATERBURY,WWW.GREENMOUNTAINPERFORMINGARTS.ORG,453569082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55690,NA,NA,NA
47,Habitat4Music Inc,2015,990EZ,C/O Victoria Eisen Dine Swensen 102,Pearl River,NA,453356188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17830,NA,NA,NA
