xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
3,Aurora School,2019,990,238 Petterson Terrace,Middlebury,N/A,030358187,1995,NA,Susan Vigne,NA,NA,178158,124399,53759,233855,124399,41499,236564,152544,84020,142616,45704,188145
4,Bennington Early Childhood Center Inc,2018,990,1506 Harwood Hill Rte 7A,Bennington,N/A,270691800,2009,"To provide and promote accessible, affordable and appropriate care and education for the children and families of the greater Bennington Area. This could include but is not limited to child care, early education, school aged care, parenting skills and support programs.",Alyson Grzb,29,15,583021,508137,74884,569879,508137,14361,927287,462112,465175,432242,25725,524373
12,Champlain Valley Christian School Assoc Inc,2018,990,2 Church St,Vergennes,cvcsvt.com,237153441,1972,K-8 Elementary and Secondary School An elementary and secondary education school providing an academic education with a Christian worldview.,Julia DeVries,18,40,486649,454838,31811,453296,454838,23204,2183231,218365,1964866,253988,176488,243214
14,COMMUNITY OF VERMONT ELDERS INC,2019,990,PO BOX 1276,MONTPELIER,WWW.VERMONTELDERS.ORG,030347157,1981,"TO PROMOTE AND PROTECT A HIGHER QUALITY OF LIFE FOR THE STATE'S SENIORS. COVE ADVANCES ITS MISSION THROUGH ADVOCACY AND EDUCATION. IT WORKS WITH AND FOR ELDER VERMONTERS AND THE ORGANIZATIONS THAT SERVE THEM TO IDENTIFY, INTERPRET, AND RESPOND TO CRITICAL ISSUES THAT IMPACT THE DIGNITY, SECURITY, AND WELL BEING OF SENIORS.",RUBY BAKER,10,26,381803,423048,-41245,334743,423048,-40088,46440,18063,28377,219337,317036,17698
17,GENERAL EDUCATION FUND INC,2017,990PF,PO BOX 8490,BURLINGTON,NA,036009912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31004382,NA,NA,NA,NA,NA
20,NA,2018,NA,PO Box 38,Dorset,dorsetlibraryinfo.org,NA,1912,"General lending library of 24,000 titles,vidios,audio books, newspapers, magazines and various programs to 3,000 residents of Dorset and surrounding smaller towns.",Thea Kelly,NA,NA,145880,208458,-62578,146821,208458,-47278,1716540,NA,1716540,107134,98930,NA
23,East Burke School Inc,2018,990EZ,PO Box 228,East Burke,www.eastburkeschool.org,030497257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172115,NA,NA,NA
28,FRIENDS FOUNDATION FOR MEMS INC,2014,990EZ,PO BOX 390,MANCHESTER CENTER,N/A,542067718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35022,NA,NA,NA
31,Friends of the Charlotte Library Inc,2018,990,PO Box 344,Charlotte,N/A,030346266,1994,The Friends of the Charlotte Library raises funds to support and promote the local library's mission to provide access to the best traditional and contemporary library services for our town.,Beth Merritt,NA,50,48892,32962,15930,289413,32962,235485,290227,NA,290227,NA,282562,NA
40,Friends of the Waterbury Library,2017,990EZ,PO Box 384,Waterbury,N/A,030326304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118898,NA,NA,NA
46,GREEN MOUNTAIN CENTER FOR GIFTED EDUCATIION INC,2018,990EZ,PO BOX 568,COLCHESTER,N/A,200705404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155743,NA,NA,NA
47,Green Mountain Library Consortium Inc,2018,990,PO Box 250,Hartland,www.gmlc.org,262685328,2008,"The Green Mountain Library Consortium provides digital resource services to 360 member libraries (public, school, academic, and speical Libraries) in Vermont. GMLC member libraries provide library services to over 405,000 patrons.",Wendy Hysko - President,NA,10,178454,175021,3433,212347,175021,-967,91406,NA,91406,11435,16000,196347
52,HIGH 5 ADVENTURE LEARNING CENTER INC,2018,990,130 AUSTINE DRIVE,BRATTLEBORO,WWW.HIGH5ADVENTURE.ORG,030363893,1999,"DEDICATED TO HELPING INDIVIDUALS, SCHOOLS, AND COMMUNITIES USE EXPERIENTIAL EDUCATION AS AN EFFECTIVE TOOL FOR IMPROVING THE WAY THEY LIVE, LEARN, AND WORK TOGETHER.",JAMES GROUT,30,NA,1776889,2120329,-343440,2977557,2120329,774590,935286,268135,667151,1176857,74159,2787586
54,INDIANA CENTER FOR FAMILY SCHOOL,2015,990EZ,9247 north meridian street No 325,INDIANAPOLIS,www.fscp.org,352145677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5254,NA,NA,NA
55,INSPIRE FOR AUTISM INC,2016,990,130 AUSTINE DRIVE 8,BRATTLEBORO,www.theinspireschool.org,261377701,2007,EDUCATION OF CHILDREN WITH AUTISM,KATHLEEN VRANOS,40,20,1226105,1180990,45115,1058036,1180990,50932,237710,6039,231671,922388,NA,1045415
57,KELLOGG-HUBBARD LIBRARY,2019,990,135 MAIN STREET,MONTPELIER,WWW.KELLOGGHUBBARD.ORG,030181056,1894,"FOR OVER A CENTURY, THE KELLOGG-HUBBARD LIBRARY HAS BEEN AT THE HEART OF OUR COMMUNITIES: PRESERVING YESTERDAY, INFORMING TODAY, AND INSPIRING TOMORROW.",JESSIE LYNN,50,92,1059866,1006055,53811,1073702,1006055,105465,7211494,181802,7029692,618670,906789,51515
60,LONG TRAIL SCHOOL,2018,990,1045 KIRBY HOLLOW ROAD,DORSET,WWW.LONGTRAILSCHOOL.ORG,030253366,1975,NA,SETH LINFIELD,84,NA,10550727,5340878,5209849,4571810,5340878,-504248,14717953,788102,13929851,2835861,370272,3989649
62,LUC GATES FOUNDATION,2018,990EZ,2443 SAMPSONVILLE ROAD,ENOSBURG FALLS,N/A,043377424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141028,NA,NA,NA
