xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
9,Clean Energy States Alliance Inc,2019,990,50 State Street,Montpelier,www.cesa.org,270029803,2002,"Technical support to States' clean energy agencies. CESA is a national nonprofit organization dedicated to advancing state and local efforts to implement smart clean energy policies, programs, technology innovation, and financing tools to drive increased investment and market making.",Anthony Vargo,NA,14,1565197,1395391,169806,1541453,1395391,-17351,1094126,269797,824329,838077,1251720,284379
13,ECOLOGIA INC,2018,990EZ,PO BOX 268,MIDDLEBURY,N/A,232604224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15552,NA,NA,NA
15,The Equinox Preservation Trust Inc,2018,990PF,PO Box 46,Manchester,NA,043197313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88639,1622,NA,NA,NA,NA
19,Foundation for a Sustainable Future,2018,990PF,410 Camels Hump Road,Huntington,NA,200028886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13459438,NA,NA,NA,NA,NA
25,GUANACASTE DRY FOREST CONSERVATION FUND,2018,990,4780 MAIN ROAD,HUNTINGTON,www.gdfcf.org,943280315,1997,The mission of the GDFCF is to carry out any project or initiative that will increase the chances of survival of the ecosystems and biodiversity of Area de Conservacion Guanacaste in Northern Costa Rica. See Schedule O for additional details.,NA,NA,15,6007561,2166001,3841560,4011292,2166001,1794998,17111063,181243,16929820,760634,3534249,271040
36,LAKE SAINT CATHERINE ASSOCIATION INC,2019,990EZ,PO BOX 631,WELLS,N/A,030270055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90650,NA,NA,NA
37,Lewis Creek Watershed Association,2019,990,PO Box 313,Charlotte,www.lewiscreek.org,030349148,1995,NA,Martha Illick,NA,74,156205,128464,27741,226889,128464,33768,95950,NA,NA,44213,224829,1556
38,LUCY MACKENZIE HUMANE SOCIETY INC,2018,990,PO BOX 702,Brownsville,NA,036006562,1915,PROVIDING SHELTER AND ADOPTION SERVICES FOR HOMELESS ANIMALS,SUSAN COPELAND,18,NA,458419,488587,-30168,393201,488587,-144257,3401790,7082,3394708,238038,224514,69841
41,New England Tropical Conservatory Inc,2018,990EZ,160 Benmont Ave Ste C3-80A,Bennington,NA,043140998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391304,NA,NA,NA
49,REGULATORY ASSISTANCE PROJECT,2019,990,50 STATE STREET NO 3,MONTPELIER,WWW.RAPONLINE.ORG,010471151,1992,NA,NOELLE MACKAY,31,NA,7980411,7726366,254045,7861211,7726366,-748228,6736910,1725796,5011114,4465965,6888145,871478
50,NA,NA,NA,NA,NA,NA,760799202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,ROOTSWORK INC,2018,990EZ,PO BOX 31,WARREN,WWW.ROOTSWORK.ORG,043346507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134030,NA,NA,NA
57,Stark Mountain Foundation Inc,2018,990,PO Box 1221,Waitsfield,www.starkmountain.org,030369897,2000,To preserve and protect the environment of Stark Mountain.,James Elkind,NA,NA,1105186,716549,388637,1844692,716549,1361346,2217519,NA,2217519,NA,1829075,NA
60,VERMONT FAMILY FORESTS FOUNDATION,2018,990,PO BOX 254,BRISTOL,WWW.FAMILYFORESTS.ORG,203294728,2016,SUSTAINABLE FORESTRY PRACTICES,JONATHAN CORCORAN,NA,NA,427649,308862,118787,369537,308862,25802,1418808,22502,1396306,147083,313693,48812
62,VERMONT INSTITUTE OF NATURAL SCIENCE,2018,990,149 NATURES WAY PO BOX 1281,QUECHEE,WWW.VINSWEB.ORG,030231665,1972,NA,CHARLES F RATTIGAN,47,180,2650011,1508847,1141164,2877776,1508847,1242657,7115371,678959,6436412,965182,1943839,719254
63,Vermont Natural Resources Council Inc,2018,990,9 Bailey Avenue,Montpelier,www.vnrc.org,030223731,1963,NA,Brian Shupe,19,16,3251721,1189074,2062647,1773969,1189074,494850,6184451,110826,6073625,848844,1617821,15519
67,Windsor Good News Electronics,2014,990,PO Box 723,Windsor,N/A,030488164,2002,Provide a mechanism to dispose of,JOANNE JACKSON,14,15,316463,405129,-88666,256967,405129,-71777,44084,30140,13944,163580,7345,289803
72,CENTRAL VERMONT HUMANE SOCIETY INC,2018,990,PO BOX 687,MONTPELIER,WWW.CentralvermontHUMANE.org,030217066,1964,TO EDUCATE THE PUBLIC IN THE PREVENTION OF CRUELTY TO ANIMALS AND PROVIDE SHELTER AND MEDICAL CARE FOR HOMELESS ANIMALS AS WELL AS ASSIST IN FINDING PERMANENT HOMES FOR THESE ANIMALS.,SHARON ASAY,21,83,847306,774808,72498,763704,774808,37417,1342374,196330,1146044,446110,421618,196671
76,Clean Energy Group Inc,2019,990,50 State Street,Montpelier,www.cleanegroup.org,030359346,1998,"Clean energy research and advocacy. Clean Energy Group promotes effective clean energy policies, develops low carbon technology innovation strategies and promotes new financial tools to strengthen the economy and stabilize climate change.",Anthony Vargo,16,NA,2741916,1835433,906483,1544822,1835433,-208082,2453831,389769,2064062,1101847,790345,738734
79,NA,NA,NA,NA,NA,NA,030363125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Energy Action Network Inc,2017,990,17 State Street,Montpelier,N/A,455424161,2012,To enable systemic change to achieve Vermont's Energy and emission,JARED DUVAL,NA,NA,516985,382691,134294,487663,382691,119320,679197,10319,668878,227050,479952,7311
90,Friends of the Mad River,2019,990,PO Box 255,Waitsfield,friendsofthemadriver.org,030348974,1991,"To protect, improve, and enhance the ecological, recreational, and community values of the Mad River and its watershed. Strategies to achieve these goals include research, education, advocacy, and cooperative partnerships with neighbors, businesses, governments, and other organizations.",F Kincaid Perot,NA,75,205768,151000,54768,419454,151000,14930,370929,2247,368682,97063,409049,5355
91,FRIENDS OF THE WINOOSKI RIVER INC,2018,990EZ,PO BOX 777,MONTPELIER,www.winooskiriver.org,030368386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66106,NA,NA,NA
96,Highland Cat Rescue Inc,2019,990EZ,59 Highland Circle,Springfield,NA,820986259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,THE JENCKES FOUNDATION INC,2018,990PF,2124 BUTTERFIELD ROAD MARLBORO,BRATTLEBORO,NA,030363194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237824,NA,NA,NA,NA,NA
102,Kidsgardeningorg Inc,2019,990,132 Intervale Road,Burlington,www.kidsgardening.org,811103989,2016,"KidsGardening creates opportunities for kids to learn through the garden, engaging their natural curiousity and wonder by providing inspiration, community, know-how, and resources.",Emily Shipman,NA,NA,407613,424552,-16939,442868,424552,-33924,144179,235448,-91269,234094,220959,198908
