xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
5,NA,2018,NA,20 Ralph Piteri Terrace,Marlboro,www.calcuttakids.org,NA,2004,PROVIDING MEDICAL CARE TO PREGNANT WOMEN AND CHILDREN IN INDIA,Noah Levinson,NA,NA,114591,104604,9987,207177,104604,97422,233198,NA,233198,24600,207177,NA
6,Caledonia Essex Area Ambulance Service,2017,990,PO Box 570,St Johnsbury,calexambulance.org,222532563,1984,CALEX IS A COMMUNITY BASED LEADER DEDICATED TO DELIVERING THE HIGHEST LEVEL OF EMERGENCY MEDICAL CARE AND COMMUNITY EDUCATION WITH INTEGRITY AND COMPASSION.,STEPHEN WEST-FISHER,54,NA,2067243,2091968,-24725,2283805,2091968,44315,1067965,448107,619858,1525237,43283,2240190
10,CHILD &amp; ADOLESCENT PSYCHOLOGY,2018,990,2 COLCHESTER AVENUE,BURLINGTON,N/A,030229064,1986,NA,DIANNA MURRAY-CLOSE,NA,NA,72537,11470,61067,93149,11470,55781,793547,NA,NA,3951,NA,50000
12,COMMUNITY HEALTH CENTERS OF THE RUTLAND,2019,990,275 ROUTE 30 NORTH,BOMOSEEN,WWW.CHCRR.ORG,221179701,2004,NA,MICHAEL GARDNER,430,NA,38663212,35343596,3319616,41471661,35343596,4168338,27105100,5088807,NA,29506570,2937269,38483059
13,THE COPELAND CENTER FOR WELLNESS,2019,990,PO BOX 6471,BRATTLEBORO,COPELANDCENTER.COM,203409257,2005,NA,PETER ASHENDEN,10,NA,1299984,1370214,-70230,1226106,1370214,-24205,230730,26803,NA,779635,462689,763245
15,Essex Rescue Inc,2018,990,1 Educational Drive,Essex Junction,Essexrescue.org,237134380,1971,"ESSEX RESCUE IS COMMITTED TO BEING A LEADER IN EMS AND TO PROVIDING OUR COMMUNITY WITH EXCELLENCE IN PRE-HOSPITAL AND OUT OF HOSPITAL CARE. WE STRIVE FOR THIS BY MAINTAINING THE HIGHEST STANDARDS OF OUR PROFESSION, CARING FOR OUR PATIENTS, THEIR FAMILIES AND THE COMMUNITY, AND PREVENTING ILLNESS AND INJURY THROUGH PUBLIC EDUCATION.",HILLARY DANIS,10,50,941229,904966,36263,944424,904966,-3799,1662616,NA,1662616,440460,143000,775745
16,FIRST STEP RECOVERY HOUSE INC,2019,990EZ,684 WEST MILTON ROAD,MILTON,www.firststepvt.org,743218897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18197,NA,NA,NA
17,GALLOP TO SUCCESS,2019,990EZ,1214 CROSS HILL ROAD,NORTH BENNINGTON,NA,451255835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15617,NA,NA,NA
18,GIFFORD HEALTH CARE INC,2018,990,44 SOUTH MAIN STREET,RANDOLPH,WWW.GIFFORDHEALTHCARE.ORG,460938716,2012,"AS A COMMUNITY HEALTH CENTER &amp; MEDICAL HOME, GIFFORD'S MISSION IS TO IMPROVE AND MANAGE THE HEALTH OF THE PEOPLE WE SERVE BY PROVIDING AND ASSURING ACCESS TO AFFORDABLE, HIGH-QUALITY HEALTH CARE, AND BY PROMOTING THE HEALTH AND WELL-BEING OF EVERYONE IN OUR SERVICE AREA.",DANIEL A BENNETT,NA,13,13256891,14624427,-1367536,14472740,14624427,-752715,2024583,5468768,-3444185,11117490,2148427,12321665
20,GLOVER AMBULANCE SQUAD INC,2018,990,48 COUNTY RD BOX 64,WEST GLOVER,WWW.GLOVERAMBULANCE.ORG,030356729,1998,NA,TABITHA ARMSTRONG,NA,10,147123,138690,8433,141341,138690,-7978,127254,29732,97522,43286,34438,104330
21,GROUNDS FOR HEALTH INC,2018,990,600 BLAIR PARK ROAD SUITE 311,WILLISTON,WWW.GROUNDSFORHEALTH.ORG,030367185,1996,NA,DAVID C COX,NA,NA,573726,525317,48409,640864,525317,44405,263619,4701,258918,209874,611237,NA
22,GUARDIANSHIP TRUST OF VERMONT INC,2018,990,PO BOX 647,MONTPELIER,NA,030264312,1976,SERVICING DEVELOPMENTALLY DISABLED ADULTS,MARY MOULTON,NA,NA,4336729,4336718,11,4980323,4336718,38,164638,143742,20896,NA,NA,4980285
23,THE HENRY LORING MASTERS FOUNDATION INC,2014,990EZ,55 SPRING STREET,MEDFIELD,WWW.HENRYMASTERSFOUNDATION.ORG,272479724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100028,NA,NA,NA
25,Inner Fire Inc,2019,990,26 Parker Road,Brookline,www.innerfire.us,461542395,2012,"Inner Fire is a proactive, residential healing community offering a choice for people to recover from debilitating and traumatic life challenges without the use of psychotropic medications",Thomas Kavet,23,NA,NA,NA,NA,626698,NA,120893,749443,NA,749443,330137,162181,446798
26,Keystone Indemnity Company Ltd CO Strategic Risk Solutions,2018,990,159 Bank Street 4th Floor,Burlington,N/A,030371612,2001,PROVIDE PROFESSIONAL MEDICAL LIABILITY INSURANCE AND GENERAL LIABILITY INSURANCE FOR MASONICARE CORPORATION AND ITS AFFILIATES.,NA,NA,NA,1948498,-119247,2067745,756084,-119247,558126,19435396,5894058,13541338,NA,NA,NA
27,MAGGIES BRIGHT SIDE INC,2018,990EZ,PO BOX 813,RICHMOND,WWW.MAGGIESBRIGHTSIDE.ORG,825029797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18972,NA,NA,NA
28,Manchester Medical Center Foundation LTD,2018,990EZ,38 Red Brook Road,Winhall,N/A,821130319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA
29,NA,2013,990,NA,NA,NA,113231882,1995,RESEARCH AND AWARENESS OF TINNITUS AND HEARING DISORDERS,BARBARA A GOLDSTEIN,NA,NA,65123,50869,14254,52379,50869,6392,284761,NA,284761,NA,51897,NA
30,MAYO HEALTHCARE INC,2019,990,71 RICHARDSON STREET,NORTHFIELD,WWW.MAYOHC.ORG,030140186,1939,PROVIDE QUALITY HEALTHCARE TO COMMUNITY.,TIMOTHY MCADOO,183,NA,8028662,8021482,7180,8329465,8021482,12487,7098311,2537686,4560625,5300426,44925,8184634
31,MIB AGENTS INC,2019,990,PO BOX 858,BARNARD,MIBAGENTS.ORG,811109906,2016,NA,ANN GRAHAM,NA,200,373007,367345,5662,385262,367345,140125,375757,103432,NA,53153,384815,NA
32,MOUNTAIN VALLEY HEALTH COUNCIL INC,2019,990,38 VT RTE 11,LONDONDERRY,N/A,030240165,1975,"THE MOUNTAIN VALLEY HEALTH COUNCIL PROVIDES COMMUNITY, LEADERSHIP AND FINANCIAL SUPPORT AS WELL AS LABORATORY SERVICES TO THE MOUNTAIN VALLEY MEDICAL CLINIC WHICH HAS BEEN PROVIDING CRITICAL MEDICAL SERVICES TO THE GREATER LONDONDERRY, VT AREA FOR MORE THAN FORTY YEARS.",NA,NA,NA,732949,278487,454462,399910,278487,15815,4225068,34702,4190366,NA,155084,150432
34,Northern Counties Health Care Inc,2019,990,165 Sherman Drive,St Johnsbury,www.nchcvt.org,510199559,1976,NA,Michael Costa,376,45,26979484,25717740,1261744,28095734,25717740,930925,17267497,2354680,NA,20109940,4089920,23863194
35,NORTHWESTERN COUNSELING &amp; SUPPORT,2018,990,107 FISHER POND ROAD,ST ALBANS,WWW.NCSSINC.ORG,030210542,1958,PROVIDE MENTAL HEALTH SERVICES,TIM GALLAGAN,698,NA,43808946,43326043,482903,47187183,43326043,1502230,19782141,7588642,12193499,39107338,2670290,44129696
37,RECOVERY HOUSE INC,2018,990,98 CHURCH STREET PO BOX 207,WALLINGFORD,www.recoveryhousevt.org,521295114,1981,"THE MISSION OF RECOVERY HOUSE, INC. IS TO PROVIDE ADULTS SUFFERING FROM ADDICTION A RESIDENTIAL TREATMENT SETTING THAT RECOGNIZES ADDICTION AS A TREATABLE, CHRONIC DISEASE.",WILLIAM CARRIS,34,NA,2445887,2196076,249811,2385261,2196076,247024,2695087,279326,2415761,1525389,764534,1602902
38,RESCUE INC,2018,990,541 CANAL STREET PO BOX 593,BRATTLEBORO,WWW.RESCUEINC.ORG,030220925,1966,"To serve as a key component of our rural healthcare system and to provide the highest quality, risk appropriate, rapid response emergency medical care and transportation services in our region.",KATHLEEN HEGE,82,NA,4182701,3810048,372653,4415623,3810048,167759,2731229,967900,1763329,2415852,143848,4256972
39,SlamT1D Inc,2018,990EZ,188 Allen Brook Lane,Williston,www.slamt1d.org,463620415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8653,NA,NA,NA
40,Sojourns Community Clinic Inc,2019,990,4923 US Route 5,Westminster,sojourns.org,621789197,2000,Sojourns Community Health Clinics goal is to address several critical aspects of the current health care crisis. We are committed to providing affordable high quality integrative healthcare and to empowering our patients towards greater participation in and advocacy for their own health and wellness through education and counseling.,Cynthia Moore,42,NA,2395464,2320914,74550,2351790,2320914,-17472,1060632,313931,746701,1684161,403848,1615299
42,NA,NA,NA,NA,NA,NA,203268677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,TURNING POINT CLUB OF BENNINGTON INC,2018,990,PO BOX 454,Bennington,NA,510479687,2004,"The organization provides peer support, education and safe activitiesfor those experiencing a substance misue disorder and works with other local/state organizations relative to recovery.",NA,14,40,238934,238934,NA,262843,238934,-56883,-3231,NA,-3231,227594,239905,18487
45,Turning Point Recovery Center of Springfield VT Inc,2018,990,7 Morgan St,Springfield,N/A,043803952,2004,"Providing a drop in center, meeting facilities and transitional housing for those in need of help with addictions.",Michael Johnson,NA,NA,167332,166366,966,253922,166366,20849,239387,75947,163440,128043,222535,31385
46,UNITED COUNSELING SERVICE OF,2018,990,100 LEDGE HILL DRIVE,BENNINGTON,WWW.UCSVT.ORG,030199213,1961,MENTAL HEALTH AGENCY,LORNA MATTERN,368,NA,18014952,17720912,294040,18596132,17720912,37320,7633193,3559430,4073763,11471522,2937521,14965064
