xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
2,DOMINICAN REPUBLIC EDUCATION AND,2018,990,13 WINTER LANE,MILTON,WWW.DOMINICANDREAM.ORG,030362565,2000,NA,MICHEL ZALESKI,NA,NA,1700496,1448169,252327,2007413,1448169,235479,2784217,NA,NA,713651,1314129,479594
3,NA,2018,NA,NA,Fernainda Beach,www.global-response.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5709,NA,NA,NA
6,PURE WATER FOR THE WORLD,2018,990,73 1/2 E Center Street,RUTLAND,WWW.PUREWATERFORTHEWORLD.ORG,030362954,1999,"PURE WATER FOR THE WORLD PARTNERS WITH UNDERSERVED COMMUNITIES, WHERE THERE ARE HIGH INCIDENCES OF WATERBORNE DISEASES AND A SCARCITY OF AID. TOGETHER, WE ESTABLISH COMPREHENSIVE SAFE WATER SOLUTIONS THAT INCLUDE THE ESSENTIAL TOOLS AND EDUCATION TO SERVE ALL COMMUNITY MEMBERS. WE PROVIDE WATER, SANITATION AND HYGIENE CAPACITY BUILDING PROGRAMS, TRAINING OTHERS TO ACCELERATE ACCESS TO SAFE WATER. WE MONITOR EVERY PROJECT TO ENSURE EFFECTIVENESS. WE HAVE SERVED200 COMMUNITIES, REACHING OVER 750,000 INDIVIDUALS.",CHARLENE SEWARD,NA,25,975483,1128389,-152906,1165244,1128389,-48894,753859,38817,715042,639636,955926,186367
11,VOLUNTEERS FOR PEACE,2016,990,131 Main Street,Burlington,www.vfp.org,030282748,1981,Volunteers For Peace promotes,NA,NA,30,221321,249078,-27757,176267,249078,6090,11429,452,10977,39470,NA,175958
12,WHEELOCK MOUNTAIN FARM INC,2015,990,91 WEST WHEELOCK ROAD,GREENSBORO BEND,wheelockmountainfarm.weebly.com,030349582,1995,TO PROVIDE EDUCATIONAL ACTIVITIES THAT PROMOTE ECONOMIC AND CULTURAL VIABILITY OF RURAL COMMUNITIES IN VERMONT.,BRUCE KAUFMAN,NA,NA,207966,172690,35276,259849,172690,25863,485565,77175,408390,169396,257992,NA
13,NA,2018,NA,1015 15th Street NW,Brattleboro,www.worldlearninginc.org,NA,1932,"World Learning Inc., founded in 1932, is a nonprofit organization that envisions a just world of engaged citizens and thriving communities. Our mission is to empower people and strengthen institutions through education, exchange and development programs that will make this vision a reality. Educational initiatives provide knowledge and skills, and create personal connections to bridge cultural differences. Locally driven international development projects build the foundations of citizen participation in under-represented communities around the world. By connecting people through experiential learning and opportunities to practice what the Organization teaches, World Learning has created a global network of more than 100,000 students and alumni, faculty, staff, and in-country partners working together to inspire and lead effective social change.",Carol Jenkins,772,15,152976726,144088257,8888469,117002611,144088257,-3345557,73323253,26774592,46548661,41529467,1477451,114463065
14,NA,NA,NA,NA,NA,NA,222552917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Cuban American Friendship Society,2016,990,PO Box 8486,Burlington,www.cubanamericanfs.org,473060960,1992,"The Cuban American Friendship Society's mission is to build community by fostering connections between the people of Cuba and the United States. We organize and lead trips to Cuba focused on connecting people to discuss issues that are of mutual concern and interest to people in Cuba and the United States. From law and healthcare to education, arts, culture and agriculture, the themed based trips we lead allow participants to develop meaningful people-to-people connections between Cuba and the United States.",Sandra Baird,NA,11,670641,268299,402342,491636,268299,-394864,29027,21549,7478,61094,221850,269672
18,IMAGING THE WORLD CORP,2016,990,PO BOX 25,CHARLOTTE,IMAGINGTHEWORLD.ORG,263534444,NA,BRING ULTRASOUND TECHNOLOGY AND TRAINING TO REMOTE REGIONS,JANE ALSOFROM,NA,NA,269075,201141,67934,314343,201141,67999,214421,NA,214421,38966,322722,NA
23,NA,NA,NA,NA,NA,NA,043330170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
