xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
3,THE AMERICAN MORGAN HORSE EDUCATIONAL,2019,990,4066 SHELBURNE ROAD SUITE 6,SHELBURNE,WWW.AMHECT.ORG,306041200,2002,NA,CARRIE MORTENSEN,NA,NA,1844609,1757481,87128,1859374,1757481,29568,1172141,30594,NA,184564,151953,1121288
4,ARTHUR &amp; ANITA KAHN FAMILY,2018,990PF,C/O N DE TARNOWSKY 209 BATTERY ST,BURLINGTON,NA,452581505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13992,NA,NA,NA,NA,NA
12,NA,2013,990PF,NA,NA,NA,311658629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,CHAMP P3 INC,2018,990,PO BOX 21,RANDOLPH,N/A,475672968,2015,NA,LEE KHAN,NA,NA,100000,125077,-25077,18000,125077,7312,9713,27000,NA,NA,18000,NA
17,Cooper Family Foundation Inc,2019,990PF,1505 Spear Street,South Burlington,NA,201326428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1648315,NA,NA,NA,NA,NA
21,DOWNTOWN BRATTLEBORO ALLIANCE INC,2018,990EZ,PO BOX 961,BRATTLEBORO,N/A,030358074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45530,NA,NA,NA
27,Four Angels Foundation,2018,990PF,255 Thompson Road,Shelburne,NA,306165945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443277,NA,NA,NA,NA,NA
37,HALL ART FOUNDATION INC,2017,990PF,544 VT Route 106 PO Box 127,READING,NA,261386173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Harris &amp; Frances Block Foundation Inc,2018,990PF,c/o Betsy Chodorkoff 491 Ennis Hill,Marshfield,NA,311784246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,HIGH MEADOWS FUND INC,2019,990,CO VCF 3 COURT STREET,MIDDLEBURY,WWW.HIGHMEADOWSFUND.ORG,200288123,2003,NA,GAYE SYMINGTON,NA,NA,1581001,1417003,163998,1353811,1417003,-756348,21082308,481614,20600694,360204,702647,NA
