xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
2,ALL NATIONS FOR JESUS CHRIST INC,2019,990EZ,71 LINCOLN STREET,ESSEX JCT,N/A,020749086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23225,NA,NA,NA
5,CAMP NERINGA INC,2019,990,147 NERINGA ROAD,BRATTLEBORO,www.neringa.org,462300248,2015,"CULTURAL, RELIGIOUS AND EDUCATIONAL CAMP",LEONARD LINAS ORENTAS,25,80,500510,397227,103283,1026257,397227,491649,1079288,NA,1079288,220815,202279,808977
8,Chapel of the Holy Family Inc,2018,990EZ,884 Darling Hill Road,Lyndonville,chapeloftheholyfamily.com,812184872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,908,NA,NA,NA
9,CONNECTING HOPE INC,2019,990EZ,92 SUMMER STREET,BARRE,N/A,471752319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17817,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,030372485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,2018,990,BOX 97,PLYMOUTH,HTTPS://COOLIDGEFOUNDATION.ORG,036009701,1960,"TO PERPETUATE THE MEMORY OF CALVIN COOLIDGE,THE 30TH PRESIDENT OF THE UNITED STATES THROUGH EDUCATION.",AMITY SHLAES,NA,150,10553169,1383014,9170155,10697608,1383014,8824585,20635818,31266,20604552,749514,10284979,1638
53,The Lords Way Church of Christ Inc,2018,990EZ,132 Damon Road,Springfield,N/A,721521516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2553,NA,NA,NA
54,LUMUNOS INC,2019,990,38 SOUTH WINOOSKI AVE,BURLINGTON,WWW.LUMUNOS.ORG,237172930,1980,"LUMUNOS PROVIDES WAYS FOR PEOPLE TO REFLECT ON THEIR LIVES, CONNECT WITH WHAT MATTERS MOST AND DISCOVER NEXT STEPS",DANIEL QUINLAN,NA,NA,524938,541983,-17045,452115,541983,-4026,86718,32724,53994,260690,213469,238622
62,NA,2018,NA,2509 Shaftsbury Hollow Road,North Bennington,www.spirithollow.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3757,NA,NA,NA
64,NA,2018,NA,233 Railroad Street,WORCESTER,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445416,NA,NA,NA
66,NA,2013,990,NA,NA,NA,030346359,1989,JEWISH SYNAGOGUE AND RELIGIOUS EDUCATION,SHARI BORZEKOWSKI,21,50,192757,218211,-25454,212279,218211,-14245,1101864,3139,1098725,88558,199916,NA
75,H BOONE AND VIOLET M PORTER,2018,990PF,PO BOX 2020,WEST BRATTLEBORO,NA,391397212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,OUR LADY OF EPHESUS HOUSE OF PRAYER,2019,990,35 FAWN LEDGE LANE,JAMAICA,N/A,030358470,1997,"CHURCH- HOUSE OF PRAYER. TO PROVIDE FACILITIES FOR THE PERSONAL GROWTH OF INDIVIDUALS THROUGH REFLECTION AND PRAYER IN THE ROMAN CATHOLIC TRADITION. PESONAL PRAYER, REFLECTION, READING, RELIGIOUS VIDEOS, STATION OF THE CROSS, ROSARY, MASS, VISITING PRIESTS, CONFESSIONS, SPEAKERS, RELIGIOUS MEETINGS, DIALOGUE, WEDDING, CATECHISM.",CHRISTOPHER FRASER,NA,NA,17234,98165,-80931,26125,98165,-97794,908318,738502,169816,NA,22184,3641
98,NA,NA,NA,NA,NA,NA,030354024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Nasareanorg Inc,2018,990EZ,112 S Main Street,Stowe,www.nasarean.org,813028517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112742,NA,NA,NA
111,NA,2016,NA,NA,ESSEX JUNCTION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82595,NA,NA,NA
112,THE PASSIONIST FOUNDATION OF THE STATE,2018,990EZ,420 HILLCREST ROAD,GREENSBORO,HTTP://WWW.GREENMOUNTAINMONASTERY.ORG,030366016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440890,NA,NA,NA
128,EMERGENCY RESPONDERS SUPPORT SERVICES,2015,990EZ,799 COLEVILLE ROAD,BENNINGTON,N/A,205634123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753,NA,NA,NA
129,THE FELLOWSHIP OF AILBE,2019,990EZ,360 ZEPHYR ROAD,WILLISTON,WWW.AILBE.ORG,205953783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30059,NA,NA,NA
